"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2020","484.67","481.71","487.70","480.71","2.25M","0.60%"
"Nov 18, 2020","481.79","482.00","488.54","477.73","3.63M","0.24%"
"Nov 17, 2020","480.63","480.96","487.50","479.30","3.70M","0.32%"
"Nov 16, 2020","479.10","481.78","485.54","477.50","3.95M","-0.77%"
"Nov 13, 2020","482.84","486.77","488.94","477.80","3.01M","-0.81%"
"Nov 12, 2020","486.77","490.76","496.35","480.53","5.07M","-0.81%"
"Nov 11, 2020","490.76","482.98","491.55","478.39","5.46M","2.19%"
"Nov 10, 2020","480.24","470.12","484.37","463.57","8.31M","2.07%"
"Nov 09, 2020","470.50","485.85","495.79","468.00","10.42M","-8.59%"
"Nov 06, 2020","514.73","515.00","515.21","502.51","4.24M","0.19%"
"Nov 05, 2020","513.76","506.01","518.70","504.02","5.37M","3.38%"
"Nov 04, 2020","496.95","495.36","507.73","493.98","5.14M","2.00%"
"Nov 03, 2020","487.22","484.93","495.30","478.76","3.69M","0.64%"
"Nov 02, 2020","484.12","478.87","486.30","475.00","4.41M","1.76%"
"Oct 30, 2020","475.74","502.01","505.88","472.21","7.81M","-5.65%"
"Oct 29, 2020","504.21","488.50","513.90","479.34","11.12M","3.70%"
"Oct 28, 2020","486.24","486.90","494.00","483.36","5.99M","-0.55%"
"Oct 27, 2020","488.93","490.01","490.01","482.98","3.63M","0.14%"
"Oct 26, 2020","488.24","487.00","496.68","478.97","6.19M","-0.01%"
"Oct 23, 2020","488.28","488.11","490.06","481.35","4.93M","0.63%"
"Oct 22, 2020","485.23","493.90","493.90","482.00","7.00M","-0.78%"
"Oct 21, 2020","489.05","500.01","506.84","488.36","17.41M","-6.92%"
"Oct 20, 2020","525.42","528.15","533.52","522.40","10.05M","-1.00%"
"Oct 19, 2020","530.72","537.07","541.73","526.51","7.57M","-0.01%"
"Oct 16, 2020","530.79","549.50","554.33","530.03","6.35M","-2.06%"
"Oct 15, 2020","541.94","546.35","550.99","535.10","5.11M","0.09%"
"Oct 14, 2020","541.45","562.78","572.11","541.00","9.51M","-2.28%"
"Oct 13, 2020","554.09","539.20","557.56","537.20","5.60M","2.65%"
"Oct 12, 2020","539.81","548.81","551.69","538.45","5.39M","0.07%"
"Oct 09, 2020","539.44","537.83","544.28","535.00","4.78M","1.44%"
"Oct 08, 2020","531.79","533.50","534.84","524.52","5.39M","-0.54%"
"Oct 07, 2020","534.66","517.68","536.47","515.95","7.99M","5.69%"
"Oct 06, 2020","505.87","519.78","521.12","504.26","4.20M","-2.84%"
"Oct 05, 2020","520.65","506.80","520.99","501.70","4.09M","3.50%"
"Oct 02, 2020","503.06","516.43","526.37","502.70","6.07M","-4.63%"
"Oct 01, 2020","527.51","505.60","529.55","503.84","8.15M","5.50%"
"Sep 30, 2020","500.03","492.57","504.63","489.55","4.63M","1.33%"
"Sep 29, 2020","493.48","489.51","496.20","486.60","3.54M","0.58%"
"Sep 28, 2020","490.65","489.83","492.00","478.01","4.77M","1.61%"
"Sep 25, 2020","482.88","474.39","484.87","468.03","3.77M","2.07%"
"Sep 24, 2020","473.08","470.53","476.90","467.82","3.73M","0.52%"
"Sep 23, 2020","470.61","490.58","490.69","469.06","3.73M","-4.19%"
"Sep 22, 2020","491.17","490.00","491.82","479.43","3.48M","0.78%"
"Sep 21, 2020","487.35","467.82","487.69","466.91","5.46M","3.70%"
"Sep 18, 2020","469.96","472.51","479.40","458.60","6.72M","-0.05%"
"Sep 17, 2020","470.20","475.00","478.34","463.45","5.38M","-2.82%"
"Sep 16, 2020","483.86","499.39","504.45","483.49","4.40M","-2.45%"
"Sep 15, 2020","495.99","484.73","497.45","481.78","5.34M","4.14%"
"Sep 14, 2020","476.26","480.18","488.65","471.42","7.36M","-1.20%"
"Sep 11, 2020","482.03","486.48","493.73","476.81","5.04M","0.28%"
"Sep 10, 2020","480.67","504.35","506.22","479.17","6.24M","-3.90%"
"Sep 09, 2020","500.19","519.55","519.55","492.65","6.85M","-1.35%"
"Sep 08, 2020","507.02","498.39","521.72","495.33","5.57M","-1.75%"
"Sep 04, 2020","516.05","520.18","527.36","485.98","8.27M","-1.84%"
"Sep 03, 2020","525.75","543.52","553.59","521.72","9.07M","-4.90%"
"Sep 02, 2020","552.84","553.79","556.50","538.10","5.89M","-0.67%"
"Sep 01, 2020","556.55","532.60","557.39","532.45","9.51M","5.10%"
"Aug 31, 2020","529.56","521.16","531.86","517.66","4.94M","1.08%"
"Aug 28, 2020","523.89","532.00","539.00","522.00","4.42M","-0.45%"
"Aug 27, 2020","526.27","537.55","540.48","521.50","9.06M","-3.88%"
"Aug 26, 2020","547.53","492.51","548.78","492.51","20.37M","11.61%"
"Aug 25, 2020","490.58","488.33","492.40","485.09","5.73M","0.36%"
"Aug 24, 2020","488.81","494.73","501.00","483.23","4.76M","-0.71%"
"Aug 21, 2020","492.31","496.46","498.13","490.00","3.92M","-1.12%"
"Aug 20, 2020","497.90","484.69","498.91","484.08","5.13M","2.76%"
"Aug 19, 2020","484.53","493.76","494.32","483.67","3.16M","-1.49%"
"Aug 18, 2020","491.87","484.01","495.25","482.81","3.51M","1.97%"
"Aug 17, 2020","482.35","483.97","486.09","479.15","2.42M","-0.07%"
"Aug 14, 2020","482.68","482.82","488.33","480.21","2.94M","0.28%"
"Aug 13, 2020","481.33","478.40","484.41","476.75","3.01M","1.23%"
"Aug 12, 2020","475.47","471.17","482.30","470.49","5.44M","1.83%"
"Aug 11, 2020","466.93","478.74","480.83","466.63","7.33M","-3.40%"
"Aug 10, 2020","483.38","493.68","497.09","478.67","4.69M","-2.29%"
"Aug 07, 2020","494.73","505.45","508.29","486.68","5.91M","-2.82%"
"Aug 06, 2020","509.08","503.33","510.74","498.89","3.73M","1.39%"
"Aug 05, 2020","502.11","508.04","510.00","501.23","4.31M","-1.48%"
"Aug 04, 2020","509.64","500.78","510.25","499.09","5.61M","2.21%"
"Aug 03, 2020","498.62","490.86","503.08","490.47","5.88M","1.99%"
"Jul 31, 2020","488.88","488.29","494.80","484.50","5.92M","0.63%"
"Jul 30, 2020","485.80","481.27","488.25","477.56","6.61M","0.27%"
"Jul 29, 2020","484.48","492.25","494.92","484.13","6.61M","-0.82%"
"Jul 28, 2020","488.51","496.49","497.20","487.87","5.99M","-1.44%"
